frequency,reflection_coeff,transmission_coeff,permeability_rel,permitivity_rel,reflection_loss
1200000000.0,0.378569073066628,0.9653174332216321,0.21949422261148957,2.73184393113875,0.8204374614996266
1280000000.0,0.3800735888769083,0.9631625336752196,0.23183690221130512,2.651674258192676,1.5700702919782765
1360000000.0,0.379914179146686,0.9600614511080466,0.2454256441447077,2.57169493802554,8.42346778306841
1440000000.0,0.3795494791061225,0.9570471565688381,0.2592629514518622,2.5019187646680114,4.01415922167264
1520000000.0,0.3807568156581328,0.9548477022644011,0.27119569685665856,2.455310197643642,1.9037757488983507
1600000000.0,0.38155691207139764,0.9520597059126942,0.2835367233189677,2.41288168437534,3.1786233756172377
1680000000.0,0.3813717387186038,0.9495523616160952,0.29713329411166506,2.370281990376144,16.342735654355238
1760000000.0,0.38125172016885883,0.9463009723583415,0.3101130053907263,2.335420233516289,4.682166487851346
1840000000.0,0.38114048532392175,0.943431300523133,0.32332713084849396,2.305827719745986,3.5105114637992725
1920000000.0,0.38201488993345306,0.9413932896349375,0.33533317722329264,2.2876269915979655,7.522467527284372
2000000000.0,0.38115484097981234,0.9382804473708792,0.3493899943552695,2.2626591731982506,9.05408107614621
2080000000.0,0.3806176399658837,0.935093192563355,0.3633185988768767,2.2434126302792943,4.861221461503236
2160000000.0,0.3824756455856226,0.9331214337145384,0.37369180048722694,2.241965801268208,7.082376081166366
2240000000.0,0.38256206799422243,0.9306056098995062,0.3861135283394582,2.2333832381073058,9.91133994127977
2320000000.0,0.381220243007051,0.9278063884610208,0.40089840262050414,2.2194418958734135,6.161319163368918
2400000000.0,0.3817140889743552,0.9251961236818421,0.4131457661368806,2.217699228532889,7.969814541387872
2480000000.0,0.3821774804892299,0.9229125783764531,0.42524820307480055,2.218824980874645,9.106952711535945
2560000000.0,0.3823832508923589,0.920717048082012,0.4377968515733663,2.2206197263911727,7.130443658514691
2640000000.0,0.3833369034641215,0.9188046137733284,0.44895228569753504,2.227472967695686,8.893988391177611
2720000000.0,0.38519973591846235,0.9173269232850496,0.45830901494249376,2.2404398473030978,8.512181553905565
2800000000.0,0.38616722489934363,0.9159609402390547,0.469245647347935,2.251078455687737,7.940384765269427
2880000000.0,0.3854101737150871,0.913317133878293,0.48292865630921816,2.2536884956427987,9.21732739842884
2960000000.0,0.38632265907104274,0.9112800165901018,0.4940819703213642,2.26613790879164,8.35371214298422
3040000000.0,0.3900487767073235,0.9113198243673086,0.49980438268818145,2.2940587634527576,8.804582520845004
3120000000.0,0.3906945315171591,0.9098497897861337,0.5106692209852051,2.3073733992892995,8.880936161790974
3200000000.0,0.39099111073885695,0.9078495863084634,0.5219011068574838,2.318820852705674,8.70184160168539
3280000000.0,0.39359682575294785,0.9072586960380706,0.5287886521679894,2.3426073542576478,9.102412950764197
3360000000.0,0.3948396933860654,0.9074602972777654,0.537956865607423,2.3620858884568365,8.760809871199282
3440000000.0,0.39444473898899574,0.9061004262506089,0.550539268559628,2.373467874441102,9.17634964564797
3520000000.0,0.39509896814555895,0.9037942366431285,0.561685891346159,2.389806709479996,9.013100044105233
3600000000.0,0.39738989851068546,0.9032307596128936,0.5693228486312188,2.416495316495196,9.164516692770162
3680000000.0,0.39802601153947303,0.9035437267641586,0.579407369449902,2.436045074018432,9.137477055947807
3760000000.0,0.39679988936467114,0.9011538769563056,0.59345583633652,2.4447038543839543,9.2972504957289
3840000000.0,0.3990740969691578,0.9004368385440117,0.6011418663281424,2.4725694430629948,9.26421736302822
3920000000.0,0.40067476895785253,0.900573490581741,0.6092822597451804,2.498859310110691,9.305972201174193
4000000000.0,0.3991371496117921,0.8995148627902224,0.6241404182111246,2.5098707322907283,9.397576176520804
4080000000.0,0.3997293382489579,0.8981192373130138,0.6351563478562294,2.530434482850835,9.468517560805314
